percent_adult_covid_admissions,percent_pediatric_covid_admissions,percent_hospitals_previous_day_admission_adult_covid_confirmed,percent_hospitals_previous_day_admission_pediatric_covid_confirmed,percent_hospitals_previous_day_admission_influenza_confirmed,percent_hospitals_total_patients_hospitalized_confirmed_influenza,percent_hospitals_icu_patients_confirmed_influenza,percent_hospitals_inpatient_beds,percent_hospitals_total_icu_beds,percent_hospitals_inpatient_beds_used,percent_hospitals_icu_beds_used,percent_hospitals_percent_inpatient_beds_occupied,percent_hospitals_percent_staff_icu_beds_occupied,percent_hospitals_percent_inpatient_beds_covid,percent_hospitals_percent_inpatient_beds_influenza,percent_hospitals_percent_staff_icu_beds_covid,percent_hospitals_percent_icu_beds_influenza,percent_hospitals_admissions_all_covid_confirmed,percent_hospitals_total_patients_hospitalized_covid_confirmed,percent_hospitals_staff_icu_patients_covid_confirmed,avg_total_patients_hospitalized_covid_confirmed,avg_total_patients_hospitalized_influenza_confirmed,avg_staff_icu_patients_covid_confirmed,avg_icu_patients_influenza_confirmed,avg_inpatient_beds,avg_total_icu_beds,avg_inpatient_beds_used,avg_icu_beds_used,avg_percent_inpatient_beds_occupied,avg_percent_staff_icu_beds_occupied,avg_percent_inpatient_beds_covid,avg_percent_inpatient_beds_influenza,avg_percent_staff_icu_beds_covid,avg_percent_icu_beds_influenza,total_admissions_all_influenza_confirmed,total_admissions_all_covid_confirmed,total_admissions_pediatric_covid_confirmed,total_admissions_adult_covid_confirmed,latitude,longitude,year,month,day
0.8889,0.1111,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,43.0,15.0,6.0,1.0,5775.0,943.0,3614.0,590.0,0.6259,0.6252,0.0075,0.0026,0.0062,0.0011,11.0,63.0,7.0,56.0,39.41922,-111.950684,2024.0,3.0,30.0
0.9708,0.0292,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,538.0,328.0,73.0,37.0,19388.0,3329.0,13918.0,2285.0,0.7177,0.6862,0.0277,0.0169,0.0218,0.0111,523.0,686.0,20.0,666.0,35.860119,-86.660156,2024.0,1.0,6.0
0.9562,0.0438,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,0.9813,344.0,23.0,52.0,4.0,17462.0,3398.0,12486.0,2305.0,0.715,0.6782,0.0197,0.0013,0.0152,0.0011,27.0,388.0,17.0,371.0,35.860119,-86.660156,2023.0,9.0,9.0
0.8776,0.1224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,125.0,43.0,24.0,14.0,3767.0,582.0,2873.0,412.0,0.7626,0.7083,0.0332,0.0115,0.041,0.0233,78.0,98.0,12.0,86.0,34.307144,-106.018066,2023.0,12.0,16.0
0.975,0.025,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,0.8071,108.0,6.0,11.0,1.0,14506.0,2140.0,10874.0,1620.0,0.749,0.7574,0.0075,0.0004,0.005,0.0003,7.0,160.0,4.0,156.0,44.182205,-84.506836,2024.0,7.0,13.0
0.9213,0.0787,0.9648,0.9648,0.9648,0.9648,0.9648,0.9577,0.9648,0.9577,0.9577,0.9577,0.9577,0.9577,0.9577,0.9648,0.9648,0.9648,0.9648,0.9648,354.0,84.0,54.0,70.0,19815.0,2969.0,15007.0,2307.0,0.7574,0.7779,0.0179,0.0042,0.018,0.0237,28.0,470.0,37.0,433.0,33.247875,-83.441162,2023.0,8.0,19.0
0.9551,0.0449,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,0.9743,2250.0,241.0,259.0,21.0,57678.0,9720.0,44254.0,6472.0,0.7671,0.6661,0.039,0.0042,0.0266,0.0022,407.0,2804.0,126.0,2678.0,36.778259,-119.417931,2022.0,6.0,11.0
0.9794,0.0206,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,93.0,50.0,13.0,7.0,19774.0,3397.0,13850.0,2181.0,0.7003,0.6419,0.0047,0.0025,0.004,0.0021,51.0,97.0,2.0,95.0,35.860119,-86.660156,2024.0,5.0,4.0
0.9666,0.0334,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,0.9929,219.0,50.0,22.0,2.0,19657.0,2804.0,14701.0,1982.0,0.7478,0.7064,0.0111,0.0025,0.0078,0.0009,10.0,299.0,10.0,289.0,44.182205,-84.506836,2023.0,9.0,2.0
0.958,0.042,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,0.9834,769.0,455.0,111.0,62.0,24559.0,4126.0,19329.0,2885.0,0.7869,0.6992,0.0313,0.0185,0.027,0.015,20.0,952.0,40.0,912.0,40.367474,-82.996216,2022.0,6.0,25.0
